Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Fitted,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","GRM033R60J104KE19D","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X5R, 15%, 10%, 6.3V","C1","CMP-06035-000062-2","New From Design","Up to date","Fitted","Murata","GRM033R60J104KE19D","Volume Production","Mouser","81-GRM033R60J104KE19","0.008","0.232"
"","GRM033R60J104KE19D","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X5R, 15%, 10%, 6.3V","C2","CMP-06035-000062-2","New From Design","Up to date","Fitted","Murata","GRM033R60J104KE19D","Volume Production","Mouser","81-GRM033R60J104KE19","0.008","0.232"
"","GRM033R60J104KE19D","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X5R, 15%, 10%, 6.3V","C3","CMP-06035-000062-2","New From Design","Up to date","Fitted","Murata","GRM033R60J104KE19D","Volume Production","Mouser","81-GRM033R60J104KE19","0.008","0.232"
"","GRM033R60J104KE19D","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X5R, 15%, 10%, 6.3V","C4","CMP-06035-000062-2","New From Design","Up to date","Fitted","Murata","GRM033R60J104KE19D","Volume Production","Mouser","81-GRM033R60J104KE19","0.008","0.232"
"","GRM033R60J104KE19D","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X5R, 15%, 10%, 6.3V","C5","CMP-06035-000062-2","New From Design","Up to date","Fitted","Murata","GRM033R60J104KE19D","Volume Production","Mouser","81-GRM033R60J104KE19","0.008","0.232"
"","C1005X5R1A475K050BC","CAP CER 4.7UF 10V X5R 0402","C6","CMP-2000-05997-2","Released","Up to date","Fitted","TDK","C1005X5R1A475K050BC","Volume Production","Digikey","445-13820-1-ND","0.31","0.93"
"","GRM033R60J104KE19D","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X5R, 15%, 10%, 6.3V","C7","CMP-06035-000062-2","New From Design","Up to date","Fitted","Murata","GRM033R60J104KE19D","Volume Production","Mouser","81-GRM033R60J104KE19","0.008","0.232"
"","C2012X5R1E105K125AA","Multilayer Ceramic Capacitors 1µF ±10% 25V X5R SMD 0805","C8","CMP-08246-005389-1","New From Design","Up to date","Fitted","TDK","C2012X5R1E105K125AA","Volume Production","Farnell","2525136","0.10251","0.51257"
"","GRM033R60J104KE19D","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X5R, 15%, 10%, 6.3V","C9","CMP-06035-000062-2","New From Design","Up to date","Fitted","Murata","GRM033R60J104KE19D","Volume Production","Mouser","81-GRM033R60J104KE19","0.008","0.232"
"","C2012X5R1E105K125AA","Multilayer Ceramic Capacitors 1µF ±10% 25V X5R SMD 0805","C10","CMP-08246-005389-1","New From Design","Up to date","Fitted","TDK","C2012X5R1E105K125AA","Volume Production","Farnell","2525136","0.10251","0.51257"
"","GRM188R71A225KE15D","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 2.2uF, X7R, 15%, 10%, 10V","C11","CMP-2006-02836-2","New From Design","Up to date","Fitted","Murata","GRM188R71A225KE15D","Volume Production","Mouser","81-GRM188R71A225KE15","0.16","0.32"
"","GRM188R71A225KE15D","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 2.2uF, X7R, 15%, 10%, 10V","C12","CMP-2006-02836-2","New From Design","Up to date","Fitted","Murata","GRM188R71A225KE15D","Volume Production","Mouser","81-GRM188R71A225KE15","0.16","0.32"
"","C2012X5R1E105K125AA","Multilayer Ceramic Capacitors 1µF ±10% 25V X5R SMD 0805","C13","CMP-08246-005389-1","New From Design","Up to date","Fitted","TDK","C2012X5R1E105K125AA","Volume Production","Farnell","2525136","0.10251","0.51257"
"","GRM033R60J104KE19D","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X5R, 15%, 10%, 6.3V","C14","CMP-06035-000062-2","New From Design","Up to date","Fitted","Murata","GRM033R60J104KE19D","Volume Production","Mouser","81-GRM033R60J104KE19","0.008","0.232"
"","GRM033R60J104KE19D","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X5R, 15%, 10%, 6.3V","C15","CMP-06035-000062-2","New From Design","Up to date","Fitted","Murata","GRM033R60J104KE19D","Volume Production","Mouser","81-GRM033R60J104KE19","0.008","0.232"
"","C0805C106K8PACTU","CAP CER 10UF 10V X5R 0805","C16","CMP-2007-03243-2","New From Design","Up to date","Fitted","KEMET","C0805C106K8PACTU","Volume Production","Digikey","399-C0805C106K8PAC7800CT-ND","0.14","0.28"
"","GRM033R60J104KE19D","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X5R, 15%, 10%, 6.3V","C17","CMP-06035-000062-2","New From Design","Up to date","Fitted","Murata","GRM033R60J104KE19D","Volume Production","Mouser","81-GRM033R60J104KE19","0.008","0.232"
"","GRM033R60J104KE19D","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X5R, 15%, 10%, 6.3V","C18","CMP-06035-000062-2","New From Design","Up to date","Fitted","Murata","GRM033R60J104KE19D","Volume Production","Mouser","81-GRM033R60J104KE19","0.008","0.232"
"","GRM033R60J104KE19D","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X5R, 15%, 10%, 6.3V","C19","CMP-06035-000062-2","New From Design","Up to date","Fitted","Murata","GRM033R60J104KE19D","Volume Production","Mouser","81-GRM033R60J104KE19","0.008","0.232"
"","TAJA106K006RNJ","10uF 6.3V  ±10% 4O 1206  SMD Tantalum Capacitor","C20","CMP-04424-000097-1","New From Design","Up to date","Fitted","Kyocera AVX","TAJA106K006RNJ","Volume Production","Newark","60R5825","0.081","0.648"
"","GRM033R60J104KE19D","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X5R, 15%, 10%, 6.3V","C21","CMP-06035-000062-2","New From Design","Up to date","Fitted","Murata","GRM033R60J104KE19D","Volume Production","Mouser","81-GRM033R60J104KE19","0.008","0.232"
"","TAJA106K006RNJ","10uF 6.3V  ±10% 4O 1206  SMD Tantalum Capacitor","C22","CMP-04424-000097-1","New From Design","Up to date","Fitted","Kyocera AVX","TAJA106K006RNJ","Volume Production","Newark","60R5825","0.081","0.648"
"","GRM033R60J104KE19D","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X5R, 15%, 10%, 6.3V","C23","CMP-06035-000062-2","New From Design","Up to date","Fitted","Murata","GRM033R60J104KE19D","Volume Production","Mouser","81-GRM033R60J104KE19","0.008","0.232"
"","TAJA106K006RNJ","10uF 6.3V  ±10% 4O 1206  SMD Tantalum Capacitor","C24","CMP-04424-000097-1","New From Design","Up to date","Fitted","Kyocera AVX","TAJA106K006RNJ","Volume Production","Newark","60R5825","0.081","0.648"
"","GRM033R60J104KE19D","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X5R, 15%, 10%, 6.3V","C25","CMP-06035-000062-2","New From Design","Up to date","Fitted","Murata","GRM033R60J104KE19D","Volume Production","Mouser","81-GRM033R60J104KE19","0.008","0.232"
"","TAJA106K006RNJ","10uF 6.3V  ±10% 4O 1206  SMD Tantalum Capacitor","C26","CMP-04424-000097-1","New From Design","Up to date","Fitted","Kyocera AVX","TAJA106K006RNJ","Volume Production","Newark","60R5825","0.081","0.648"
"","GRM033R60J104KE19D","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X5R, 15%, 10%, 6.3V","C27","CMP-06035-000062-2","New From Design","Up to date","Fitted","Murata","GRM033R60J104KE19D","Volume Production","Mouser","81-GRM033R60J104KE19","0.008","0.232"
"","GRM033R60J104KE19D","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X5R, 15%, 10%, 6.3V","C28","CMP-06035-000062-2","New From Design","Up to date","Fitted","Murata","GRM033R60J104KE19D","Volume Production","Mouser","81-GRM033R60J104KE19","0.008","0.232"
"","TAJA106K006RNJ","10uF 6.3V  ±10% 4O 1206  SMD Tantalum Capacitor","C29","CMP-04424-000097-1","New From Design","Up to date","Fitted","Kyocera AVX","TAJA106K006RNJ","Volume Production","Newark","60R5825","0.081","0.648"
"","GRM033R60J104KE19D","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X5R, 15%, 10%, 6.3V","C30","CMP-06035-000062-2","New From Design","Up to date","Fitted","Murata","GRM033R60J104KE19D","Volume Production","Mouser","81-GRM033R60J104KE19","0.008","0.232"
"","TAJA106K006RNJ","10uF 6.3V  ±10% 4O 1206  SMD Tantalum Capacitor","C31","CMP-04424-000097-1","New From Design","Up to date","Fitted","Kyocera AVX","TAJA106K006RNJ","Volume Production","Newark","60R5825","0.081","0.648"
"","GRM033R60J104KE19D","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X5R, 15%, 10%, 6.3V","C32","CMP-06035-000062-2","New From Design","Up to date","Fitted","Murata","GRM033R60J104KE19D","Volume Production","Mouser","81-GRM033R60J104KE19","0.008","0.232"
"","TAJA106K006RNJ","10uF 6.3V  ±10% 4O 1206  SMD Tantalum Capacitor","C33","CMP-04424-000097-1","New From Design","Up to date","Fitted","Kyocera AVX","TAJA106K006RNJ","Volume Production","Newark","60R5825","0.081","0.648"
"","GRM033R60J104KE19D","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X5R, 15%, 10%, 6.3V","C34","CMP-06035-000062-2","New From Design","Up to date","Fitted","Murata","GRM033R60J104KE19D","Volume Production","Mouser","81-GRM033R60J104KE19","0.008","0.232"
"","TAJA106K006RNJ","10uF 6.3V  ±10% 4O 1206  SMD Tantalum Capacitor","C35","CMP-04424-000097-1","New From Design","Up to date","Fitted","Kyocera AVX","TAJA106K006RNJ","Volume Production","Newark","60R5825","0.081","0.648"
"","GRM033R60J104KE19D","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X5R, 15%, 10%, 6.3V","C36","CMP-06035-000062-2","New From Design","Up to date","Fitted","Murata","GRM033R60J104KE19D","Volume Production","Mouser","81-GRM033R60J104KE19","0.008","0.232"
"","GRM033R60J104KE19D","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X5R, 15%, 10%, 6.3V","C37","CMP-06035-000062-2","New From Design","Up to date","Fitted","Murata","GRM033R60J104KE19D","Volume Production","Mouser","81-GRM033R60J104KE19","0.008","0.232"
"","GRM033R60J104KE19D","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X5R, 15%, 10%, 6.3V","C38","CMP-06035-000062-2","New From Design","Up to date","Fitted","Murata","GRM033R60J104KE19D","Volume Production","Mouser","81-GRM033R60J104KE19","0.008","0.232"
"","GRM033R60J104KE19D","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X5R, 15%, 10%, 6.3V","C39","CMP-06035-000062-2","New From Design","Up to date","Fitted","Murata","GRM033R60J104KE19D","Volume Production","Mouser","81-GRM033R60J104KE19","0.008","0.232"
"","C0805C106K8PACTU","CAP CER 10UF 10V X5R 0805","C40","CMP-2007-03243-2","New From Design","Up to date","Fitted","KEMET","C0805C106K8PACTU","Volume Production","Digikey","399-C0805C106K8PAC7800CT-ND","0.14","0.28"
"","GRM033R60J104KE19D","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X5R, 15%, 10%, 6.3V","C41","CMP-06035-000062-2","New From Design","Up to date","Fitted","Murata","GRM033R60J104KE19D","Volume Production","Mouser","81-GRM033R60J104KE19","0.008","0.232"
"","GRM033R60J104KE19D","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X5R, 15%, 10%, 6.3V","C42","CMP-06035-000062-2","New From Design","Up to date","Fitted","Murata","GRM033R60J104KE19D","Volume Production","Mouser","81-GRM033R60J104KE19","0.008","0.232"
"","C1005X5R1A475K050BC","CAP CER 4.7UF 10V X5R 0402","C43","CMP-2000-05997-2","Released","Up to date","Fitted","TDK","C1005X5R1A475K050BC","Volume Production","Digikey","445-13820-1-ND","0.31","0.93"
"","C1005X5R1A475K050BC","CAP CER 4.7UF 10V X5R 0402","C44","CMP-2000-05997-2","Released","Up to date","Fitted","TDK","C1005X5R1A475K050BC","Volume Production","Digikey","445-13820-1-ND","0.31","0.93"
"","GRM033R60J104KE19D","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X5R, 15%, 10%, 6.3V","C45","CMP-06035-000062-2","New From Design","Up to date","Fitted","Murata","GRM033R60J104KE19D","Volume Production","Mouser","81-GRM033R60J104KE19","0.008","0.232"
"","GRM033R60J104KE19D","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X5R, 15%, 10%, 6.3V","C46","CMP-06035-000062-2","New From Design","Up to date","Fitted","Murata","GRM033R60J104KE19D","Volume Production","Mouser","81-GRM033R60J104KE19","0.008","0.232"
"","GRM033R60J104KE19D","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 0.10uF, X5R, 15%, 10%, 6.3V","C47","CMP-06035-000062-2","New From Design","Up to date","Fitted","Murata","GRM033R60J104KE19D","Volume Production","Mouser","81-GRM033R60J104KE19","0.008","0.232"
"","MRA4005T3G","Surface Mount Standard Recovery Power Rectifier, 2-Pin SMA, Pb-Free, Tape and Reel","D1","CMP-0894-00001-3","Released","Up to date","Fitted","ON Semiconductor","MRA4005T3G","Not Recommended for New Design","Newark","58M9354","0.039","0.195"
"","LTST-C191KSKT","LED YELLOW CLEAR SMD","D2","CMP-22017-000025-1","New From Design","Up to date","Fitted","Vishay Lite-On","LTST-C191KSKT","Volume Production","Mouser","859-LTST-C191KSKT","0.28","1.12"
"","ESDALC6V1P6","TVS DIODE 3V SOT666IP","D3","CMP-12225-000016-1","New From Design","Up to date","Fitted","STMicroelectronics","ESDALC6V1P6","Volume Production","Future Electronics","2113252","0.35","0.7"
"","ESDALC6V1P6","TVS DIODE 3V SOT666IP","D4","CMP-12225-000016-1","New From Design","Up to date","Fitted","STMicroelectronics","ESDALC6V1P6","Volume Production","Future Electronics","2113252","0.35","0.7"
