Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Fitted,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
"","LTST-C191KSKT","LED YELLOW CLEAR SMD","D5","CMP-22017-000025-1","New From Design","Up to date","Fitted","Vishay Lite-On","LTST-C191KSKT","Volume Production","Mouser","859-LTST-C191KSKT","0.28","1.12"
"","LTST-C191KSKT","LED YELLOW CLEAR SMD","D6","CMP-22017-000025-1","New From Design","Up to date","Fitted","Vishay Lite-On","LTST-C191KSKT","Volume Production","Mouser","859-LTST-C191KSKT","0.28","1.12"
"","LTST-C191KSKT","LED YELLOW CLEAR SMD","D7","CMP-22017-000025-1","New From Design","Up to date","Fitted","Vishay Lite-On","LTST-C191KSKT","Volume Production","Mouser","859-LTST-C191KSKT","0.28","1.12"
"","BLM15AG601SN1D","Chip Ferrite Bead, 0402, 600O @ 100MHz, 0.52O, 25%, 300mA","FB1","CMP-0686-00187-4","Released","Up to date","Fitted","Murata","BLM15AG601SN1D","Volume Production","Digikey","490-1006-1-ND","0.1","0.1"
"","6093","CONN BANANA JACK SOLDER LUG RED","J1","CMP-19636-000026-1","New From Design","Up to date","Fitted","Keystone Electronics","6093","Volume Production","Mouser","534-6093","11.28","90.24"
"","6093","CONN BANANA JACK SOLDER LUG RED","J2","CMP-19636-000026-1","New From Design","Up to date","Fitted","Keystone Electronics","6093","Volume Production","Mouser","534-6093","11.28","90.24"
"","6093","CONN BANANA JACK SOLDER LUG RED","J3","CMP-19636-000026-1","New From Design","Up to date","Fitted","Keystone Electronics","6093","Volume Production","Mouser","534-6093","11.28","90.24"
"","6093","CONN BANANA JACK SOLDER LUG RED","J4","CMP-19636-000026-1","New From Design","Up to date","Fitted","Keystone Electronics","6093","Volume Production","Mouser","534-6093","11.28","90.24"
"","6093","CONN BANANA JACK SOLDER LUG RED","J5","CMP-19636-000026-1","New From Design","Up to date","Fitted","Keystone Electronics","6093","Volume Production","Mouser","534-6093","11.28","90.24"
"","6093","CONN BANANA JACK SOLDER LUG RED","J6","CMP-19636-000026-1","New From Design","Up to date","Fitted","Keystone Electronics","6093","Volume Production","Mouser","534-6093","11.28","90.24"
"","6093","CONN BANANA JACK SOLDER LUG RED","J7","CMP-19636-000026-1","New From Design","Up to date","Fitted","Keystone Electronics","6093","Volume Production","Mouser","534-6093","11.28","90.24"
"","6093","CONN BANANA JACK SOLDER LUG RED","J8","CMP-19636-000026-1","New From Design","Up to date","Fitted","Keystone Electronics","6093","Volume Production","Mouser","534-6093","11.28","90.24"
"","TSW-102-07-L-S","CONN HEADER VERT 2POS 2.54MM","J9","CMP-02766-001428-1","New From Design","Up to date","Fitted","Samtec","TSW-102-07-L-S","Volume Production","Arrow Electronics","TSW-102-07-L-S","0.1252","0.2504"
"","TSW-102-07-L-S","CONN HEADER VERT 2POS 2.54MM","J10","CMP-02766-001428-1","New From Design","Up to date","Fitted","Samtec","TSW-102-07-L-S","Volume Production","Arrow Electronics","TSW-102-07-L-S","0.1252","0.2504"
"","2-406549-1","CONN MOD JACK 8P8C R/A SHIELDED","J11","CMP-2000-05541-2","Released","Up to date","Fitted","TE Connectivity","2-406549-1","Volume Production","Future Electronics","9887829","2.62","2.62"
"","61201420621","","P1","CMP-1502-00053-2","Released","Up to date","Fitted","Wurth Electronics","61201420621","Volume Production","","","",""
"","RC0805FR-0710RL","Chip Resistor, 10 Ohm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R1","CMP-2100-03670-1","Released","Up to date","Fitted","Yageo","RC0805FR-0710RL","Volume Production","Newark","98K7784","0.008","0.08"
"","RC0805FR-0710RL","Chip Resistor, 10 Ohm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R2","CMP-2100-03670-1","Released","Up to date","Fitted","Yageo","RC0805FR-0710RL","Volume Production","Newark","98K7784","0.008","0.08"
"","RC0805FR-0710RL","Chip Resistor, 10 Ohm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R3","CMP-2100-03670-1","Released","Up to date","Fitted","Yageo","RC0805FR-0710RL","Volume Production","Newark","98K7784","0.008","0.08"
"","RC0805FR-0710RL","Chip Resistor, 10 Ohm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R4","CMP-2100-03670-1","Released","Up to date","Fitted","Yageo","RC0805FR-0710RL","Volume Production","Newark","98K7784","0.008","0.08"
"","RC0805FR-0710RL","Chip Resistor, 10 Ohm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R5","CMP-2100-03670-1","Released","Up to date","Fitted","Yageo","RC0805FR-0710RL","Volume Production","Newark","98K7784","0.008","0.08"
"","RC0805FR-0710RL","Chip Resistor, 10 Ohm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R6","CMP-2100-03670-1","Released","Up to date","Fitted","Yageo","RC0805FR-0710RL","Volume Production","Newark","98K7784","0.008","0.08"
"","RC0805FR-0710RL","Chip Resistor, 10 Ohm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R7","CMP-2100-03670-1","Released","Up to date","Fitted","Yageo","RC0805FR-0710RL","Volume Production","Newark","98K7784","0.008","0.08"
"","RC0805FR-0710RL","Chip Resistor, 10 Ohm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R8","CMP-2100-03670-1","Released","Up to date","Fitted","Yageo","RC0805FR-0710RL","Volume Production","Newark","98K7784","0.008","0.08"
"","RC1206FR-071KL","Chip Resistor, 1 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel","R9","CMP-2100-03678-1","Released","Up to date","Fitted","Yageo","RC1206FR-071KL","Volume Production","Mouser","603-RC1206FR-071KL","0.023","0.23"
"","RC1206FR-071KL","Chip Resistor, 1 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel","R10","CMP-2100-03678-1","Released","Up to date","Fitted","Yageo","RC1206FR-071KL","Volume Production","Mouser","603-RC1206FR-071KL","0.023","0.23"
"","RC1206FR-071KL","Chip Resistor, 1 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel","R11","CMP-2100-03678-1","Released","Up to date","Fitted","Yageo","RC1206FR-071KL","Volume Production","Mouser","603-RC1206FR-071KL","0.023","0.23"
"","RC0805FR-0710RL","Chip Resistor, 10 Ohm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R12","CMP-2100-03670-1","Released","Up to date","Fitted","Yageo","RC0805FR-0710RL","Volume Production","Newark","98K7784","0.008","0.08"
"","ERA3AEB301V","","R13","CMP-2000-00025-1","Released","Up to date","Fitted","Panasonic","ERA-3AEB301V","Volume Production","Newark","53W8342","0.05","1.2"
"","ERA3AEB301V","","R14","CMP-2000-00025-1","Released","Up to date","Fitted","Panasonic","ERA-3AEB301V","Volume Production","Newark","53W8342","0.05","1.2"
"","ERA3AEB301V","","R15","CMP-2000-00025-1","Released","Up to date","Fitted","Panasonic","ERA-3AEB301V","Volume Production","Newark","53W8342","0.05","1.2"
"","ERA3AEB301V","","R16","CMP-2000-00025-1","Released","Up to date","Fitted","Panasonic","ERA-3AEB301V","Volume Production","Newark","53W8342","0.05","1.2"
"","ERA3AEB301V","","R17","CMP-2000-00025-1","Released","Up to date","Fitted","Panasonic","ERA-3AEB301V","Volume Production","Newark","53W8342","0.05","1.2"
"","ERA3AEB301V","","R18","CMP-2000-00025-1","Released","Up to date","Fitted","Panasonic","ERA-3AEB301V","Volume Production","Newark","53W8342","0.05","1.2"
"","ERA3AEB301V","","R19","CMP-2000-00025-1","Released","Up to date","Fitted","Panasonic","ERA-3AEB301V","Volume Production","Newark","53W8342","0.05","1.2"
"","ERA3AEB301V","","R20","CMP-2000-00025-1","Released","Up to date","Fitted","Panasonic","ERA-3AEB301V","Volume Production","Newark","53W8342","0.05","1.2"
"","ERA3AEB301V","","R21","CMP-2000-00025-1","Released","Up to date","Fitted","Panasonic","ERA-3AEB301V","Volume Production","Newark","53W8342","0.05","1.2"
"","ERA3AEB301V","","R22","CMP-2000-00025-1","Released","Up to date","Fitted","Panasonic","ERA-3AEB301V","Volume Production","Newark","53W8342","0.05","1.2"
"","ERA3AEB301V","","R23","CMP-2000-00025-1","Released","Up to date","Fitted","Panasonic","ERA-3AEB301V","Volume Production","Newark","53W8342","0.05","1.2"
"","ERA3AEB301V","","R24","CMP-2000-00025-1","Released","Up to date","Fitted","Panasonic","ERA-3AEB301V","Volume Production","Newark","53W8342","0.05","1.2"
"","ERA3AEB301V","","R25","CMP-2000-00025-1","Released","Up to date","Fitted","Panasonic","ERA-3AEB301V","Volume Production","Newark","53W8342","0.05","1.2"
"","ERA3AEB301V","","R26","CMP-2000-00025-1","Released","Up to date","Fitted","Panasonic","ERA-3AEB301V","Volume Production","Newark","53W8342","0.05","1.2"
"","ERA3AEB301V","","R27","CMP-2000-00025-1","Released","Up to date","Fitted","Panasonic","ERA-3AEB301V","Volume Production","Newark","53W8342","0.05","1.2"
"","ERA3AEB301V","","R28","CMP-2000-00025-1","Released","Up to date","Fitted","Panasonic","ERA-3AEB301V","Volume Production","Newark","53W8342","0.05","1.2"
"","ERA3AEB301V","","R29","CMP-2000-00025-1","Released","Up to date","Fitted","Panasonic","ERA-3AEB301V","Volume Production","Newark","53W8342","0.05","1.2"
"","ERA3AEB301V","","R30","CMP-2000-00025-1","Released","Up to date","Fitted","Panasonic","ERA-3AEB301V","Volume Production","Newark","53W8342","0.05","1.2"
"","ERA3AEB301V","","R31","CMP-2000-00025-1","Released","Up to date","Fitted","Panasonic","ERA-3AEB301V","Volume Production","Newark","53W8342","0.05","1.2"
"","ERA3AEB301V","","R32","CMP-2000-00025-1","Released","Up to date","Fitted","Panasonic","ERA-3AEB301V","Volume Production","Newark","53W8342","0.05","1.2"
"","RC1206FR-071KL","Chip Resistor, 1 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel","R33","CMP-2100-03678-1","Released","Up to date","Fitted","Yageo","RC1206FR-071KL","Volume Production","Mouser","603-RC1206FR-071KL","0.023","0.23"
"","RC0603FR-0710KL","RES 10K OHM 1% 1/10W 0603","R34","CMP-2100-03664-2","Released","Up to date","Fitted","Yageo","RC0603FR-0710KL","Volume Production","Digikey","311-10.0KHRCT-ND","0.1","0.1"
"","RC1206FR-071KL","Chip Resistor, 1 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel","R35","CMP-2100-03678-1","Released","Up to date","Fitted","Yageo","RC1206FR-071KL","Volume Production","Mouser","603-RC1206FR-071KL","0.023","0.23"
"","ERA3AEB301V","","R36","CMP-2000-00025-1","Released","Up to date","Fitted","Panasonic","ERA-3AEB301V","Volume Production","Newark","53W8342","0.05","1.2"
"","ERA3AEB301V","","R37","CMP-2000-00025-1","Released","Up to date","Fitted","Panasonic","ERA-3AEB301V","Volume Production","Newark","53W8342","0.05","1.2"
"","ERA3AEB301V","","R38","CMP-2000-00025-1","Released","Up to date","Fitted","Panasonic","ERA-3AEB301V","Volume Production","Newark","53W8342","0.05","1.2"
"","ERA3AEB301V","","R39","CMP-2000-00025-1","Released","Up to date","Fitted","Panasonic","ERA-3AEB301V","Volume Production","Newark","53W8342","0.05","1.2"
"","STM32H723ZGT6","No Description Available","U1","","Not managed","","Fitted","","","","","","",""
"","MCP3564R-E/ST","MCP3564R-E/ST 8-Channel Single ADC Delta-Sigma 153.6ksps 24-bit Serial 20-Pin TSSOP Tube","U2","CMP-00252-111742343-1","New From Design","Up to date","Fitted","Microchip","MCP3564R-E/ST","Volume Production","Mouser","579-MCP3564R-E/ST","5.44","5.44"
"","AT30TS74-SS8M-B","Temp Sensor Digital Serial (2-Wire, I2C, SMBus) 8-Pin SOIC Tube","U3","","Not managed","","Fitted","","","","","","",""
"","ATA6561-GAQW-N","IC TRANSCEIVER 1/1 8SO","U4","CMP-06279-000002-1","New From Design","Up to date","Fitted","Microchip","ATA6561-GAQW-N","Volume Production","Digikey","ATA6561-GAQW-NCT-ND","0.48","0.48"
"","MCP1825S-3302E/DB","500 mA, Low Voltage, Low Quiescent Current LDO Regulator, 3-Pin SOT-223, Extended Temperature","U5","CMP-0136-00458-1","Released","Up to date","Fitted","Microchip","MCP1825S-3302E/DB","Volume Production","Arrow Electronics","MCP1825S-3302E/DB","0.649","1.3"
"","MCP1825S-3302E/DB","500 mA, Low Voltage, Low Quiescent Current LDO Regulator, 3-Pin SOT-223, Extended Temperature","U6","CMP-0136-00458-1","Released","Up to date","Fitted","Microchip","MCP1825S-3302E/DB","Volume Production","Arrow Electronics","MCP1825S-3302E/DB","0.649","1.3"
"","MCP1754ST-3302E/CB","150 mA, 16 V, High Performance LDO, -40 to 125 degC, 3-pin SOT-23A (CB3), Tape and Reel","U7","CMP-0136-01141-1","Released","Up to date","Fitted","Microchip","MCP1754ST-3302E/CB","Volume Production","Arrow Electronics","MCP1754ST-3302E/CB","0.4802","0.4802"
"","MCP1754ST-5002E/MB","150 mA, 16 V, High Performance LDO, -40 to 125 degC, 3-pin SOT-89 (MB3), Tape and Reel","U8","CMP-0136-01167-1","Released","Up to date","Fitted","Microchip","MCP1754ST-5002E/MB","Volume Production","Arrow Electronics","MCP1754ST-5002E/MB","0.7278","0.7278"
"","LM1117MPX-5.0","800mA Low-Dropout Linear Regulator, 4-pin SOT-223","U9","CMP-0062-01637-4","Released","Up to date","Fitted","TI National Semiconductor","LM1117MPX-5.0","End of Life","Arrow Electronics","LM1117MPX-5.0","1.86","1.86"
"","LAN8742A-CZ-TR","IC TRANSCEIVER 1/1 24SQFN","U10","CMP-06281-000006-2","New From Design","Up to date","Fitted","Microchip","LAN8742A-CZ-TR","Volume Production","Digikey","LAN8742A-CZ-CT-ND","1.53","1.53"
"","H2019FNL","Telecom Transformer, 100BASE-TX, 0 to 70 degC, 16-Pin SMD, RoHS","U11","CMP-2000-06384-1","Released","Up to date","Fitted","Pulse","H2019FNL","Volume Production","Mouser","673-H2019FNL","7.77","7.77"
"","ASE-25.000MHZ-LR-T","XTAL Oscillator 25MHz ±25ppm CMOS 3.3V 4-SMD 3.2mm x 2.5mm","Y1","CMP-27762-000357-1","New From Design","Up to date","Fitted","Abracon","ASE-25.000MHZ-LR-T","Volume Production","Newark","14N7940","0.884","0.884"
